,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
238,0.0177,Rattachés et meulés,188.416,37.4372,0.127,0.0592,EN 10270-1,K,2779.0,0.006741,0.0023,18.5,d-263ve,"{1: 2.88, 450: 0.31, 37: 0.82, 17: 1.09, 7: 2.18, 250: 0.36, 75: 0.67, 125: 0.44, 350: 0.33, 175: 0.39}",0.03362
239,0.0023,Rattachés,0.926,0.0188,0.01,0.00316,EN 10270-3-1.4310,D,135.0,0.001118,0.0002,8.5,vd-006c,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.00312
240,0.054,Rattachés et meulés,2125.852,639.8236,0.111,0.07893,EN 10270-3-1.4310,AT,66288.0,0.018545000000000002,0.009,5.5,vd-414k,"{1: 14.4, 75: 4.82, 3: 8.75, 37: 4.93, 17: 5.59, 250: 4.43, 7: 7.22, 125: 4.78, 350: 4.14, 175: 4.59}",0.01064
241,0.0214,Rattachés et meulés,477.919,70.3206,0.086,0.05589,EN 10270-1,AB,15872.0,0.007490999999999999,0.0036,11.0,d-313m-02,"{1: 10.5, 75: 1.31, 3: 4.88, 37: 1.35, 17: 1.62, 250: 1.19, 7: 2.93, 125: 1.24, 350: 1.16, 175: 1.22}",0.01769
242,0.004,Rattachés,5.511,0.2559,0.0366,0.01158,EN 10270-1,B,220.0,0.001924,0.0004,18.5,d-052b,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00793
243,0.008,Rattachés et meulés,13.441,3.1986,0.0405,0.02595,EN 10270-3-1.4310,H,924.0,0.0021349999999999997,0.001,18.5,vd-163a,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.01455
244,0.0022,Rattachés,1.634,0.029,0.0045,0.00315,EN 10270-3-1.4310,D,1210.0,0.0006820000000000001,0.0003,5.5,vd-026r-21,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.00135
245,0.018,Rattachés et meulés,514.336,52.1268,0.12,0.0849,EN 10270-1,O,14653.0,0.009344,0.0032,12.5,d-308b,"{1: 3.16, 37: 1.16, 17: 1.42, 7: 2.67, 250: 0.64, 75: 1.03, 125: 0.75, 175: 0.7}",0.01328
246,0.0155,Rattachés et meulés,301.163,55.7383,0.181,0.1035,EN 10270-1,H,3886.0,0.006490999999999999,0.0025,27.5,d-283a-07,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.02862
247,0.098,Rattachés et meulés,730.986,702.4309,0.23,0.07529999999999999,EN 10270-1,AU,4725.0,0.040545000000000005,0.007,5.5,d-389e-12,"{1: 14.6, 75: 5.29, 3: 9.09, 37: 5.41, 17: 6.33, 250: 4.86, 7: 7.44, 125: 5.24, 350: 4.66, 175: 5.06}",0.09809999999999999
248,0.015,Rattachés et meulés,57.152,3.6204,0.0233,0.01021,EN 10270-1,F,4366.0,0.006229,0.0015,3.5,d-207j-01,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00865
249,0.008,Rattachés et meulés,134.4,2.1969,0.0145,0.0103,EN 10270-3-1.4310,J,32000.0,0.003686,0.0016,3.5,vd-228,"{1: 2.82, 450: 0.28, 37: 0.77, 17: 1.03, 7: 2.1, 250: 0.32, 75: 0.62, 125: 0.43, 350: 0.31, 175: 0.37}",0.00113
